Rank,Country,GDI,HDI-Female,HDI-Male,Life_exp_years_F,Life_exp_years_M,Expceted_years of_schooling_F,Expceted_years of_schooling_M,Mean_year_of _schooling_F,Mean_year_of _schooling_M,Per_capita_income_F(USD),Per_capita_income_M(USD)
119,Bolivia (Plurinational State of),0.931,0.637,0.684,70.9,65.9,12.9,13.4,7.5,8.9,"4,383","7,140"
120,Kyrgyzstan,0.961,0.638,0.664,74.6,66.6,12.7,12.3,10.5,10.6,"2,122","3,992"
121,Iraq,0.787,0.561,0.712,71.7,67.2,8.7,11.4,5.1,7.7,"4,279","23,515"
122,Cabo Verde,..,..,..,75,71.4,13.9,13.1,..,..,"4,098","8,105"
123,Micronesia (Federated States of),..,..,..,70.1,68.1,..,..,..,..,..,..
124,Guyana,0.984,0.626,0.636,68.8,64.2,11.2,9.4,8.9,8,"4,164","8,804"
125,Nicaragua,0.96,0.615,0.64,77.9,71.9,11.8,11.3,6.2,5.8,"2,967","5,979"
126,Morocco,0.828,0.555,0.67,75.1,73,10.6,11.6,3.2,5.3,"3,222","10,573"
126,Namibia,0.981,0.62,0.632,67.3,62.1,11.4,11.3,6.3,6.1,"7,672","11,267"
128,Guatemala,0.949,0.608,0.641,75.3,68.3,10.2,11,5.5,5.7,"5,021","8,934"
129,Tajikistan,0.926,0.6,0.648,73.2,66.2,10.5,12,9.6,11.2,"2,014","3,017"
130,India,0.795,0.525,0.66,69.5,66.6,11.3,11.8,3.6,7.2,"2,116","8,656"
131,Honduras,0.944,0.583,0.618,75.7,70.7,11.6,10.6,5.5,5.4,"2,365","5,508"
132,Bhutan,0.897,0.572,0.638,69.7,69.2,12.8,12.6,2,4.1,"5,733","8,418"
133,Timor-Leste,0.868,0.548,0.631,70.1,66.5,11.3,12,3.6,5.3,"3,122","7,530"
134,Syrian Arab Republic,0.834,0.52,0.623,76.5,64,12.2,12.3,5.4,7.4,864,"4,523"
134,Vanuatu,0.903,0.587,0.65,74,69.9,10.2,10.9,8,10,"2,141","3,445"
136,Congo,0.922,0.561,0.609,63.9,60.8,10.9,11.3,4.9,6.5,"5,165","6,859"
137,Kiribati,..,..,..,69.2,62.8,12.7,11.9,..,..,..,..
138,Equatorial Guinea,..,..,..,59,56.3,..,..,4,7.2,"17,073","24,850"
139,Zambia,0.917,0.558,0.609,62,58.2,13,13.9,5.8,7.3,"3,019","4,452"
140,Ghana,0.885,0.54,0.61,62.3,60.4,11,12,5.6,7.9,"3,200","4,515"
141,Lao People's Democratic Republic,0.896,0.543,0.606,67.5,64.8,10.1,11,3.9,6.1,"4,086","5,279"
142,Bangladesh,0.917,0.541,0.59,72.9,70.4,10.3,9.7,4.5,5.5,"2,278","4,083"
143,Cambodia,0.89,0.519,0.584,70.3,66.2,10.3,11.5,3.2,5.4,"2,526","3,393"
143,Sao Tome and Principe,0.891,0.52,0.584,68.4,64.4,11.4,11.2,4,5.5,"1,886","3,976"
145,Kenya,0.913,0.527,0.577,63.4,59.9,10.7,11.3,5.9,7.3,"2,255","3,270"
145,Nepal,0.908,0.521,0.574,71.1,68.2,12.5,12.2,2.3,4.5,"1,956","2,690"
147,Pakistan,0.726,0.436,0.601,67.2,65.3,7,8.5,3.1,6.2,"1,450","8,100"
148,Myanmar,..,..,..,68,63.9,..,..,4.3,3.8,"3,873","5,386"
149,Angola,..,..,..,53.8,50.8,8.7,14,..,..,"5,497","8,169"
150,Swaziland,0.879,0.494,0.561,48.2,49.6,10.9,11.8,7.4,6.8,"3,894","7,235"
151,Tanzania (United Republic of),0.938,0.504,0.538,66.4,63.5,9,9.3,4.5,5.8,"2,320","2,502"
152,Nigeria,0.841,0.468,0.556,53.1,52.4,8.2,9.8,4.9,7.1,"4,052","6,585"
153,Cameroon,0.879,0.478,0.544,56.7,54.4,9.5,11.2,5.3,6.7,"2,266","3,341"
154,Madagascar,0.945,0.497,0.526,66.6,63.6,10.2,10.5,6.6,6.1,"1,098","1,560"
155,Zimbabwe,0.922,0.487,0.529,58.9,56.2,10.7,11,6.7,7.7,"1,387","1,850"
156,Mauritania,0.816,0.446,0.546,64.5,61.6,8.5,8.5,2.7,4.8,"1,625","5,468"
156,Solomon Islands,..,..,..,69.4,66.5,8.8,9.7,..,..,"1,046","2,019"
158,Papua New Guinea,..,..,..,64.8,60.5,..,..,3.2,4.8,"2,145","2,768"
159,Comoros,0.813,0.443,0.545,65,61.6,11,11.9,3.7,5.6,778,"2,123"
160,Yemen,0.739,0.414,0.56,65.2,62.5,7.7,10.6,1.3,3.8,"1,595","5,412"
161,Lesotho,0.953,0.482,0.505,49.8,49.6,11.7,10.6,6.5,5.2,"2,613","4,017"
162,Togo,0.831,0.439,0.527,60.4,58.9,10.9,13.4,3,6.3,"1,084","1,376"
163,Haiti,..,..,..,64.9,60.7,..,..,4.2,5.6,"1,379","1,966"
163,Rwanda,0.957,0.472,0.493,67,61.1,10.4,10.2,3.2,4.3,"1,312","1,612"
163,Uganda,0.886,0.452,0.51,60.3,56.7,9.7,9.9,4.5,6.3,"1,226","1,997"
166,Benin,0.823,0.431,0.524,61,58.1,9.4,12.7,2.1,4.6,"1,493","2,043"
167,Sudan,0.83,0.428,0.516,65,62,6.7,7.3,2.5,3.8,"1,882","5,722"
168,Djibouti,..,..,..,63.7,60.4,5.9,6.9,..,..,"2,019","4,522"
