Mega Absol
Mega Aerodactyl
Mega Aggron
Mega Ampharos
Arcanine
Mega Beedrill
Mega Blastoise
Blissey
Celebi
Chandelure
Chesnaught
Cloyster
Cobalion
Conkeldurr
Crawdaunt
Cresselia
Crobat
Darmanitan
Donphan
Doublade
Empoleon
Entei
Espeon
Feraligatr
Florges
Forretress
Galvantula
Gardevoir
Gligar
Goodra
Gyarados
Haxorus
Heliolisk
Heracross
Hydreigon
Infernape
Klefki
Krookodile
Lucario
Machamp
Mamoswine
Mandibuzz
Metagross
Mienshao
Milotic
Nidoking
Nidoqueen
Porygon-Z
Porygon2
Reuniclus
Roserade
Rotom-H (Heat Form)
Mega Sceptile
Mega Sharpedo
Snorlax
Suicune
Swampert
Mega Swampert
Sylveon
Tentacruel
Tornadus
Toxicroak
Umbreon
Vaporeon
Whimsicott
