Mega Abomasnow
Dragalge
Durant
Froslass
Honchkrow
Mega Houndoom
Kingdra
Kyurem
Moltres
Noivern
Pangoro
Sableye
Sharpedo
Shaymin
Shuckle
Slurpuff
Mega Steelix
Tyrantrum
Venomoth
Yanmega
Zoroark
