Altaria
Ampharos
Arbok
Ariados
Armaldo
Articuno
Audino
Avalugg
Banette
Basculin
Bastiodon
Beartic
Beautifly
Beedrill
Beheeyem
Bellossom
Bibarel
Bouffalant
Butterfree
Cacturne
Camerupt
Carbink
Carnivine
Castform
Chatot
Cherrim
Chimecho
Clefairy
Combusken
Corsola
Crustle
Cryogonal
Delcatty
Delibird
Dedenne
Dewgong
Ditto
Dodrio
Dragonair
Drifblim
Dunsparce
Duosion
Dusclops
Dusknoir
Dustox
Electrode
Emolga
Farfetch'd
Fearow
Flareon
Floatzel
Fraxure
Furfrou
Furret
Gabite
Gigalith
Girafarig
Glaceon
Glalie
Gogoat
Golduck
Golem
Gorebyss
Gothitelle
Gourgeist (all forms)
Grumpig
Heatmor
Huntail
Hypno
Illumise
Jumpluff
Kadabra
Kingler
Klang
Krokorok
Kricketune
Lapras
Leafeon
Leavanny
Ledian
Lickilicky
Lopunny
Lumineon
Lunatone
Luvdisc
Luxray
Magcargo
Maractus
Marowak
Masquerain
Mawile
Meganium
Meowstic (Both Male and Female)
Metang
Mightyena
Minun
Misdreavus
Monferno
Mothim
Mr. Mime
Muk
Murkrow
Ninetales
Ninjask
Noctowl
Octillery
Pachirisu
Parasect
Pawniard
Pelipper
Persian
Phione
Pidgeot
Plusle
Politoed
Prinplup
Probopass
Purugly
Quagsire
Quilladin
Raichu
Rampardos
Rapidash
Raticate
Regice
Regigigas
Relicanth
Roselia
Rotom-F (Freezer form)
Rotom-S (Fan form)
Sawsbuck
Seaking
Servine
Seviper
Shedinja
Simipour
Simisage
Simisear
Slaking
Sliggoo
Smeargle
Solrock
Spinda
Stantler
Stoutland
Stunfisk
Sudowoodo
Sunflora
Swalot
Swanna
Swoobat
Tangela
Torkoal
Trevenant
Tropius
Unfezant
Unown
Ursaring
Vanilluxe
Vespiquen
Vibrava
Volbeat
Vullaby
Wailord
Walrein
Wartortle
Watchog
Whiscash
Wigglytuff
Wobbuffet
Wormadam (All Forms)
Zebstrika
Zweilous
