Absol
Accelgor
Aerodactyl
Alomomola
Ambipom
Aromatisse
Mega Banette
Blastoise
Braviary
Bronzong
Mega Camerupt
Cinccino
Clawitzer
Cofagrigus
Delphox
Diancie
Drapion
Druddigon
Eelektross
Emboar
Escavalier
Exploud
Fletchinder
Flygon
Gallade
Mega Glalie
Golbat
Granbull
Hitmonlee
Hitmontop
Hoopa
Houndoom
Jellicent
Jolteon
Magneton
Medicham
Meloetta
Qwilfish
Registeel
Rhyperior
Rotom-C (Lawn Mower form)
Sawk
Scrafty
Seismitoad
Sigilyph
Slowking
Sneasel
Spiritomb
Togetic
Uxie
Typhlosion
Venusaur
Virizion
